Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
PayCoin,PayCoin (PYC),Scrypt,PoW/PoS,30000000
RipOffCoin,RipOffCoin (RIPO),Scrypt,PoW,12000000
RonPaulCoin,RonPaulCoin (RPC),Scrypt,PoW,21000000
RotoCoin,RotoCoin (RT2),Scrypt-n,PoW/PoS,288000
RoyalCoin,RoyalCoin (RYC),Scrypt,PoW,140000000
RazorCoin,RazorCoin (RZR),Scrypt,PoW,4000000
Saturn2Coin,Saturn2Coin (SAT2),Scrypt,PoW,15000000000
StableCoin,StableCoin (SBC),Scrypt,PoW,250000000
ShadowCash,ShadowCash (SDC),Scrypt,PoW/PoS,N/A
SaffronCoin,SaffronCoin (SFR),Multiple,PoW,111000000
ShadeCoin,ShadeCoin (SHADE),Scrypt,PoW/PoS,2000000
ShieldCoin,ShieldCoin (SHLD),X15,PoW/PoS,1000000
SilkCoin,SilkCoin (SILK),Scrypt,PoW/PoS,1000000
SterlingCoin,SterlingCoin (SLG),X13,PoS,0
SmartCoin,SmartCoin (SMC),Scrypt,PoW,51200000
SoleCoin,SoleCoin (SOLE),X15,PoW/PoS,1200000
SpainCoin,SpainCoin (SPA),Scrypt-n,PoW,50000000
Spots,Spots (SPOTS),Scrypt,PoW,100000000
SecureCoin,SecureCoin (SRC),Scrypt,PoW,21000000
SSVCoin,SSVCoin (SSV),X13,PoW,21000000
SuperCoin,SuperCoin (SUPER),X11,PoS,0
BitSwift,BitSwift (SWIFT),Scrypt,PoW/PoS,N/A
SyncCoin,SyncCoin (SYNC),X11,PoW/PoS,1000
TagCoin,TagCoin (TAG),Scrypt,PoW/PoS,1000000
TakCoin,TakCoin (TAK),SHA-256,PoW/PoS,7515187520
TeslaCoin,TeslaCoin (TES),Multiple,PoS,100000000
TigerCoin,TigerCoin (TGC),SHA-256,PoW,47011968
TittieCoin,TittieCoin (TIT),PHI1612,PoS,2300000000
TorCoin,TorCoin (TOR),X11,PoW/PoS,10000000
TerraCoin,TerraCoin (TRC),SHA-256,PoW,42000000
TitCoin,TitCoin (TITC),Scrypt,PoW,1000000
Umbrella,Umbrella (ULTC),SHA-256,PoW,2625000
UnbreakableCoin,UnbreakableCoin (UNB),SHA-256,PoW,80000000
Unobtanium,Unobtanium (UNO),SHA-256,PoW,250000
UroCoin,UroCoin (URO),X11,PoW,0
UnitaryStatus Dollar,UnitaryStatus Dollar (USDE),Scrypt,PoW/PoS,1600000000
UltraCoin,UltraCoin (UTC),Scrypt,PoW/PoS,100000000
Utility Coin,Utility Coin (UTIL),X13,PoW/PoS,0
VidioCoin,VidioCoin (VDO),X11,PoW/PoS,0
VootCoin,VootCoin (VOOT),X11,PoW,0
VeriCoin,VeriCoin (VRC),Scrypt,PoST,0
WorldCoin,WorldCoin (WDC),Scrypt,PoW,265420800
SapienceCoin,SapienceCoin (XAI),X11,PoB/PoS,0
SocialXbotCoin,SocialXbotCoin (XBOT),Scrypt,PoW/PoS,2000000
X11 Coin,X11 Coin (XC),X11,PoW/PoS,5500000
Crypti,Crypti (XCR),Multiple,PoS,0
JouleCoin,JouleCoin (XJO),SHA-256,PoW,45000000
LibertyCoin,LibertyCoin (XLB),X11,PoW/PoS,16500000
PrimeCoin,PrimeCoin (XPM),Multiple,PoW,N/A
StealthCoin,StealthCoin (XST),X13,PoW/PoS,0
XXXCoin,XXXCoin (XXX),Scrypt,PoW/PoS,50000000
YAcCoin,YAcCoin (YAC),Scrypt,PoW,2000000000
ZCC Coin,ZCC Coin (ZCC),Scrypt,PoW/PoS,1000000000
ZedCoins,ZedCoins (ZED),Scrypt,PoW,120000000
Elektron,Elektron (EKN),X13,PoW/PoS,3000000
XauCoin,XauCoin (XAU),SHA-256,PoW,2100000
TimesCoin,TimesCoin (TMC),N/A,N/A,16000000
NuBits,NuBits (NBT),SHA-256,PoS,N/A
StorjCoin,StorjCoin (SJCX),Counterparty,PoS,500000000
StartCoin,StartCoin (START),X11,PoW,N/A
BigCoin,BigCoin (HUGE),Blake,PoW,164429865
MaidSafe Coin,MaidSafe Coin (MAID),N/A,N/A,452552412
007 coin,007 coin (007),Scrypt,PoW,989800
MonaCoin,MonaCoin (MONA),Scrypt,PoW,105120000
SolarFarm,SolarFarm (CELL),N/A,PoW,1000000000
TekCoin,TekCoin (TEK),SHA-256,PoW/PoS,100000000
BitBay,BitBay (BAY),PoS,PoS,N/A
Neutron,Neutron (NTRN),SHA-256,PoW/PoS,68000000
Sling Coin,Sling Coin (SLING),SHA-256,PoW,1000000
Vcash,Vcash (XVC),Whirlpool,PoS,N/A
CraveCoin,CraveCoin (CRAVE),Scrypt,PoW/PoS,N/A
Stability Shares,Stability Shares (XSI),Scrypt,PoW/PoS,15000000
ByteCent,ByteCent (BYC),N/A,PoW,33000000
GridCoin,GridCoin (GRC),Scrypt,DPoR,N/A
Gemz Social,Gemz Social (GEMZ),N/A,PoW,90000000
KryptCoin,KryptCoin (KTK),Scrypt,PoS,17000000
Horizon,Horizon (HZ),N/A,PoS,1000000000
QoraCoin,QoraCoin (QORA),N/A,PoS,10000000000
RubyCoin,RubyCoin (RBY),Scrypt,PoS,0
PesetaCoin,PesetaCoin (PTC),Scrypt,PoW,166386000
Kore,Kore (KORE),X13,PoW/PoS,12000000
Wild Beast Coin,Wild Beast Coin (WBB),Scrypt,PoW,2628000
Sonic Screw Driver Coin,Sonic Screw Driver Coin (SSD),SHA-256,PoW/PoS,0
TileCoin,TileCoin (XTC),N/A,N/A,100000000
Dnotes,Dnotes (NOTE),Scrypt,PoS,500000000
Flo,Flo (FLO),Scrypt,PoW,160000000
MaieutiCoin,MaieutiCoin (MMXIV),SHA-256,PoS,2014
8BIT Coin,8BIT Coin (8BIT),Scrypt,PoW/PoS,0
Sativa Coin,Sativa Coin (STV),X13,PoW/PoS,10000000
EbolaShare,EbolaShare (EBS),N/A,PoS,2100000
AeroMe,AeroMe (AM),X13,PoW/PoS,12000000
Coin Magi,Coin Magi (XMG),M7M,PoW/PoM/PoSII,N/A
AmberCoin,AmberCoin (AMBER),X11,PoW/PoS,1000000000
NakomotoDark,NakomotoDark (NKT),X11,PoW/PoS,0
JoinCoin,JoinCoin (J),Multiple,PoW,2800000
GhostCoin,GhostCoin (GHC),Scrypt,PoW/PoS,750000000
ArtByte,ArtByte (ABY),Scrypt,PoW,1000000000
LiteDoge,LiteDoge (LDOGE),Scrypt,PoW/PoS,35000000000
MasterTraderCoin,MasterTraderCoin (MTR),X11,PoW/PoS,10110000
Triangles Coin,Triangles Coin (TRI),X13,PoW/PoS,120000
SwarmCoin,SwarmCoin (SWARM),N/A,N/A,100000000
Boolberry,Boolberry (BBR),X11,PoW,18450000
BitCrystal,BitCrystal (BTCRY),N/A,N/A,0
BitCredit,BitCredit (BCR),Momentum,PoW,210000000
Pebble Coin,Pebble Coin (XPB),CryptoNight,PoW,0
Dirac Coin,Dirac Coin (XDQ),Blake,PoW,2272800
Folding Coin,Folding Coin (FLDC),Stanford Folding,PoW,1000000000
SolarCoin,SolarCoin (SLR),Scrypt,PoW,98100000000
Social Media Coin,Social Media Coin (SMAC),X11,PoW/PoS,0
TruckCoin,TruckCoin (TRK),X11,PoW/PoS,0
Ucoin,Ucoin (U),X11,PoS,20000000
Unitus,Unitus (UIS),Multiple,PoW,0
CypherPunkCoin,CypherPunkCoin (CYP),QuBit,PoW,0
UFO Coin,UFO Coin (UFO),NeoScrypt,PoW,4000000000
Ascension Coin,Ascension Coin (ASN),QuBit,PoW/PoS,0
OrangeCoin,OrangeCoin (OC),Scrypt,PoW/PoS,200000000
GSM Coin,GSM Coin (GSM),X11,PoW/PoS,1800000
FriendshipCoin,FriendshipCoin (FSC),NeoScrypt,PoW/PoS,60168145
NXTTY,NXTTY (NXTTY),N/A,N/A,0
QuBuck Coin,QuBuck Coin (QBK),X13,PoS/PoB,0
BlakeCoin,BlakeCoin (BLC),Blake,PoW,7000000000
MaryJane Coin,MaryJane Coin (MARYJ),X15,PoW/PoS,0
OmniCron,OmniCron (OMC),Scrypt,PoW,3371337
GigCoin,GigCoin (GIG),X11,PoW,0
CyberCoin,CyberCoin (CC),Scrypt,PoW/PoS,0
BitstarCoin,BitstarCoin (BITS),Scrypt,PoW/PoS,54256119
LTBCoin,LTBCoin (LTBC),N/A,PoP/PoV/PoQ,0
NeosCoin,NeosCoin (NEOS),SHA-256,PoS,21000000
HyperCoin,HyperCoin (HYPER),Scrypt,PoW/PoS,0
Vtorrent,Vtorrent (VTR),Scrypt,PoW/PoS,20000000
MetalCoin,MetalCoin (METAL),Scrypt,PoW,0
PinkCoin,PinkCoin (PINK),X11,PoW/PoS,500000000
GreenCoin,GreenCoin (GRE),Scrypt,PoW,10000000000
XG Sports,XG Sports (XG),XG Hash,PoW/PoS,0
ChildCoin,ChildCoin (CHILD),X11,PoW,2000000
Instamine Nuggets,Instamine Nuggets (MINE),Scrypt,PoW,21649485
ROS Coin,ROS Coin (ROS),X11,PoW/PoS,0
Unattanium,Unattanium (UNAT),SHA-256,PoW,0
SlimCoin,SlimCoin (SLM),N/A,PoB,0
GAIA Platform,GAIA Platform (GAIA),X11,PoS,24000000
FantomCoin ,FantomCoin  (FCN),CryptoNight,PoW,18400000
Cryptonite,Cryptonite (XCN),M7 POW,PoW,1840000000
Curecoin,Curecoin (CURE),Scrypt,PoW,N/A
Gridmaster,Gridmaster (GMC),Scrypt,PoW,84000000
