Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
Titan,Titan (TITAN),N/A,N/A,125000000
Moozicore,Moozicore (MZG),N/A,N/A,1000000000
Viaz,Viaz (VIAZ),N/A,N/A,1500000000
BeatzCoin,BeatzCoin (BTZC),N/A,N/A,3000000000
EcoVerse,EcoVerse (ECR),N/A,N/A,2500000000
Raido Financial,Raido Financial (RF),N/A,N/A,10545565
2Acoin,2Acoin (ARMS),CryptoNight-V7,PoW,17910000
Myplacex,Myplacex (MPXT),N/A,N/A,1000000000
XELS Coin,XELS Coin (XELS),N/A,N/A,2537175000
PGF500,PGF500 (PGF7T),N/A,N/A,284000000
IDAC,IDAC (IDAC),N/A,N/A,650000000
UCOIN,UCOIN (UCOINT),N/A,N/A,5000000000
Ydentity,Ydentity (YDY),N/A,N/A,100000000
Fatum,Fatum (FTUM),N/A,N/A,687500000
Instant Sponsor Token,Instant Sponsor Token (SPON),N/A,N/A,636363636
Delta-X,Delta-X (DLXV),N/A,N/A,500000000
Poseidon Foundation,Poseidon Foundation (OCEANT),N/A,N/A,36000000000
TerraEcoCoin,TerraEcoCoin (TECO),N/A,N/A,210000000
UnitedFans,UnitedFans (GOALS),N/A,N/A,130000000
EthicHub,EthicHub (ETHIX),N/A,N/A,100000000
TrustaBit,TrustaBit (TTB),N/A,N/A,1000000000
Chek,Chek (CHK),N/A,N/A,400000000
Volentix,Volentix (VLTX),N/A,N/A,2100000000
Purple Token,Purple Token (PRPT),N/A,N/A,35851808
Oasis City,Oasis City (OASC),N/A,N/A,6000000000
HyperionX,HyperionX (TREE),N/A,N/A,1000000000
GodlyCoin,GodlyCoin (GDL),N/A,N/A,98000000
Litenett,Litenett (LNT),N/A,N/A,200000000
FutureCoin,FutureCoin (FTRC),N/A,N/A,95000000
Hyperbridge,Hyperbridge (HBX),N/A,N/A,1000000000
LC Token,LC Token (LAO),N/A,N/A,N/A
The Government Network,The Government Network (GOVT),N/A,N/A,125000000
Cogenero,Cogenero (COGEN),N/A,N/A,1000000000
Coindaily,Coindaily (DAILY),N/A,N/A,20000000000
SocialRemit,SocialRemit (SREUR),N/A,N/A,300000000
MyMazzu,MyMazzu (MAZC),N/A,N/A,100000000
Tokensgate,Tokensgate (TGTC),N/A,N/A,1000000000
Planumex,Planumex (PLNX),SHA-256,N/A,1000000000
Crypt-ON,Crypt-ON (IPT),N/A,N/A,2647.4346337479949939
IGT,IGT (IGTT),N/A,N/A,21000000
Securix,Securix (SRXIO),N/A,N/A,55000000
Gigzi,Gigzi (GZB),N/A,N/A,1000000000
FinanceX,FinanceX (FNX),N/A,N/A,900000000
GGPro,GGPro (GGP),N/A,N/A,100000000
Infleum,Infleum (IFUM),N/A,N/A,3000000000
AutoBlock,AutoBlock (ATC),N/A,N/A,400000000
Bidooh,Bidooh (DOOH),N/A,N/A,126000000000
IOU,IOU (IOUX),N/A,N/A,800000000
BQT,BQT (BQTX),N/A,N/A,800000000
Envoy,Envoy (NVOY),N/A,N/A,250000000
CYBR,CYBR (CYBR),N/A,N/A,1000000000
Loligo,Loligo (LLG),N/A,N/A,16000000
Lucre,Lucre (LCR),N/A,N/A,6993462.50000000000067879
SnapCoin,SnapCoin (SNPC),N/A,N/A,735000000
Victorieum,Victorieum (VTM),N/A,N/A,1000000000
Neironix,Neironix (NRX),N/A,N/A,42860693.91824707385643194
BitCanna,BitCanna (BCNA),N/A,N/A,420000000
BitSong,BitSong (BTSG),N/A,N/A,1000000000
CINDX,CINDX (CINX),N/A,N/A,26265000
Cryptocoin Insurance,Cryptocoin Insurance (CCIN),N/A,N/A,100000000
Cyber Capital Invest,Cyber Capital Invest (CCI),N/A,N/A,250000000
Reger Diamond,Reger Diamond (RDS),N/A,N/A,60000000
Gemstra,Gemstra (GMS),N/A,N/A,16000000000
SGAT,SGAT (SGAT),N/A,N/A,30120000
SilkChain,SilkChain (SILKT),N/A,N/A,10000000000
BitMoney,BitMoney (BITM),XEVAN,Pos,70000000000
Tachain,Tachain (TCHN),N/A,N/A,179660799
Fiii,Fiii (FIII),SHA3-256,DPoC,5000000000
i-chain,i-chain (ICHN),N/A,N/A,0
Level01,Level01 (LVX),N/A,N/A,1200000000
AEN,AEN (AENT),N/A,N/A,100000000
Lyfe,Lyfe (LYFE),N/A,N/A,23125000000
Remco,Remco (REMCO),N/A,N/A,2000000000
SaTT,SaTT (SaTT),N/A,N/A,200000000
Gemera,Gemera (GEMA),N/A,N/A,100000000
Sia Cash Coin,Sia Cash Coin (SCH),N/A,N/A,25000000000
Vertex,Vertex (VTEX),N/A,N/A,300000000
ServAdvisor,ServAdvisor (SRV),N/A,N/A,2000000000
Stacktical,Stacktical (DSLA),N/A,N/A,10000000000
Sylo,Sylo (SYLO),N/A,N/A,10000000000
Yamzu,Yamzu (YMZ),N/A,N/A,276000000
Aeryus,Aeryus (AER),N/A,N/A,4166666663
AiBB ,AiBB  (AIBB),N/A,N/A,88000000
Metadium,Metadium (META),N/A,N/A,2000000000
ASQ Protocol,ASQ Protocol (ASQT),N/A,N/A,850000000
autoXchange,autoXchange (AXC),N/A,N/A,1600000000
Blinked,Blinked (BLKD),N/A,N/A,1000000000
BlooCYS,BlooCYS (CYS),N/A,N/A,1000000000
Attrace,Attrace (ATTR),N/A,N/A,1000000000
Donocle,Donocle (DDL),N/A,N/A,600000000
Coin Analyst,Coin Analyst (COY),N/A,N/A,3750000000
Finlocale,Finlocale (FNL),N/A,N/A,1000000000
Bitcoiin2Gen,Bitcoiin2Gen (B2G),Ethash,PoW,100000000
cosquare,cosquare (CSQ),N/A,N/A,100000000000
healthbank,healthbank (HBE),N/A,N/A,4000000000
Intrachain,Intrachain (ICT),N/A,N/A,219444444
KRATOS,KRATOS (TOS),N/A,N/A,300000000
CPROP,CPROP (CPROP),N/A,N/A,6133333333
moolyacoin,moolyacoin (MOOLYA),N/A,N/A,1000000000
Ponder,Ponder (PON),N/A,N/A,200000000
CryptoRevolution,CryptoRevolution (CREV),N/A,N/A,69000000
Varanida,Varanida (VAD),N/A,N/A,1000000000
IdealCoin,IdealCoin (IDC),N/A,N/A,2200000000
LaborCrypto,LaborCrypto (LBR),N/A,N/A,100000000000
EMX,EMX (EMX),N/A,N/A,1000000000
ETERBASE,ETERBASE (XBASE),N/A,N/A,1000000000
Liqnet,Liqnet (LEN),N/A,N/A,63746032
KUBO,KUBO (KUBO),N/A,N/A,3500000000000
Faba Invest,Faba Invest (FABA),N/A,N/A,160000000
Liquid8,Liquid8 (LQ8),N/A,N/A,700000000
Gric Coin,Gric Coin (GC),N/A,N/A,10000000000
Inflr,Inflr (INFLR),N/A,N/A,400000000
Libellum,Libellum (LIB),N/A,N/A,100000000
Petlife,Petlife (PETL),N/A,N/A,143000000
MPCX,MPCX (XDMC),N/A,N/A,999950416
PopulStay,PopulStay (PPS),N/A,N/A,5000000000
Smilo,Smilo (SMILO),N/A,N/A,N/A
BCV Blue Chip,BCV Blue Chip (BCVB),N/A,N/A,48714285
TreeBlock,TreeBlock (TREX),N/A,N/A,10000000000
Venus,Venus (VNS),Scrypt,N/A,300000000
Verifier,Verifier (VRF),N/A,N/A,690000000
Auxilium,Auxilium (Auxilium),Keccak,PoA,300000000
eLYQD,eLYQD (LYQD),N/A,N/A,100000000000
ComBox,ComBox (CBP),N/A,N/A,96984643
Smoke,Smoke (SMOKE),N/A,DPoS,42000000
EdenChain,EdenChain (EDN),N/A,N/A,1000000000
Travala,Travala (AVALA),N/A,N/A,61571086
nOS,nOS (NOS),N/A,N/A,375000000
Dollar Token 1,Dollar Token 1 (DT1),N/A,N/A,60000000
STACS Token,STACS Token (STACS),N/A,N/A,900000000
Junson Ming Chan Coin,Junson Ming Chan Coin (JMC),X11,PoS,0
Foam,Foam (FOAM),N/A,N/A,1000000000
FREDEnergy,FREDEnergy (FRED),CryptoNight,PoW,8080000000
CONNECT,CONNECT (CNCT),N/A,N/A,100000000
Engagement Token,Engagement Token (ENGT),N/A,N/A,1000000000
Verity,Verity (VRTY),N/A,N/A,500000000
TokenStars TEAM Token,TokenStars TEAM Token (TEAMT),N/A,N/A,17818682.1655
Zenad,Zenad (ZND),Quark,POS / MN,46000000
3DChain,3DChain (3XD),N/A,N/A,100000000
Futurepia,Futurepia (FPC),N/A,N/A,22200000000
Synco,Synco (SYNCO),N/A,N/A,13000000000
Verifier,Verifier (SPY),N/A,N/A,170000000
GraphenTech,GraphenTech (77G),N/A,N/A,19000000000
H-Education World,H-Education World (HIDU),N/A,N/A,1000000000
Usechain Token,Usechain Token (USE),N/A,N/A,20000000000
Ngin,Ngin (NGIN),M00N,PoW,360000000
Koto,Koto (KOTO),Yescript,N/A,214160000
sUSD,sUSD (SUSD),N/A,N/A,1150145.887973470084323873
Genesis Network,Genesis Network (GENX),Equihash,PoW,4100000000
Hyperspace,Hyperspace (XSC),N/A,N/A,0
Vertical,Vertical (VTL),Lyra2Z,PoW,35000000
Seci,Seci (SECI),N/A,PoW,150000000
SpritzCoin,SpritzCoin (SPRTZ),N/A,N/A,36500000000
C25 Coin,C25 Coin (C25),SkunkHash,PoW,6100000
MVL,MVL (MVL),N/A,N/A,30000000000
LYNCHPIN Token,LYNCHPIN Token (LYN),N/A,N/A,5000000
BitStash,BitStash (STASH),N/A,N/A,6000000000
Aquachain,Aquachain (AQUA),Argon2,PoW,42000000
Qredit,Qredit (XQR),N/A,DPoS,700000000
URANIUMX,URANIUMX (URX),Argon2d,N/A,235000
K-Systems,K-Systems (KSYS),N/A,N/A,4182013.999999999982
MEDoctor,MEDoctor (MTEL),N/A,N/A,1000000000
MulTra,MulTra (MTT),N/A,N/A,1000000000
MusicLife,MusicLife (MITC),N/A,N/A,6000000000
BlakeBitcoin,BlakeBitcoin (BBTC),Blake,PoW,21000000
Universal Molecule,Universal Molecule (UMO),Blake,PoW,105120001.44
Lithium,Lithium (LIT),Blake,PoW,25228800
MUST Protocol,MUST Protocol (MUST),N/A,N/A,500000000
Electron,Electron (ELT),Blake,PoW,7000000000
Xeonbit,Xeonbit (XNB),CryptoNight,PoW,18400000
Smart Bitcoin,Smart Bitcoin (RBTC),SHA-256,PoW,20999764
PirateCash,PirateCash (PIRATE),Equihash,PoS,105000000
Exosis,Exosis (EXO),Exosis,PoW,21000000
ONAM,ONAM (ONAM),N/A,N/A,300000000
BitHostCoin,BitHostCoin (BIH),N/A,PoS,60000000
Karma,Karma (KARMA),N/A,N/A,12000000000
Conjure,Conjure (CJR),N/A,N/A,100000000
Block-Logic,Block-Logic (BLTG),Scrypt,PoW,120000000
AgaveCoin,AgaveCoin (AGVC),N/A,N/A,35000000000
ASG,ASG (ASGC),N/A,N/A,300000000
MIMI Money,MIMI Money (MIMI),CryptoNight,PoW,1000000000000000000
PlayGame,PlayGame (PXG),N/A,N/A,1000000000
ORIUM,ORIUM (ORM),N/A,N/A,200000000
Tourist Review,Tourist Review (TRET),N/A,N/A,9099963323
Securosys,Securosys (SET),N/A,N/A,4691300
BEER Coin,BEER Coin (BEER),N/A,N/A,800000000
AERGO ,AERGO  (AERGO),N/A,N/A,500000000
Timicoin,Timicoin (TIMI),N/A,PoW/PoS,309664635
Neural Protocol,Neural Protocol (NRP),N/A,N/A,9500000000
Sentivate,Sentivate (SNTVT),N/A,N/A,4200000000
Coinsuper Ecosystem Network,Coinsuper Ecosystem Network (CEN),N/A,N/A,986090252
Hashgard,Hashgard (GARD),N/A,N/A,100000000000
UNEOX,UNEOX (UNX),N/A,N/A,30000000
Oduwa,Oduwa (OWC),Scrypt,PoW/PoS,21000000
WOWX,WOWX (WOWX),N/A,N/A,185000000 
Solarex,Solarex (SRX),N/A,N/A,2400000000
Athero,Athero (THO),N/A,N/A,2000000000
PROOF OF TOSS,PROOF OF TOSS (TOSS),N/A,N/A,1100000000
KiMex,KiMex (KMX),N/A,N/A,250000000
SocialGood,SocialGood (SG),N/A,N/A,210000000
The Sun Exchange,The Sun Exchange (SUNEX),N/A,N/A,332000000
Vidy,Vidy (VIDY),N/A,N/A,10000000000
Xtribe,Xtribe (XRBT),N/A,N/A,2000000000
Alux Bank,Alux Bank (ALUX),N/A,N/A,1000000000
Bitacium,Bitacium (XBOND),N/A,N/A,25000000
Bitbose,Bitbose (BOSE),N/A,N/A,300000000
Joycoin,Joycoin (JOY),N/A,N/A,2400000000
WETH,WETH (WETH),N/A,N/A,2030298.554655345761790653
Godbex,Godbex (GBE),N/A,N/A,100000000
Harambee Token,Harambee Token (HRBE),N/A,N/A,1000000000
Beam,Beam (BEAM),Equihash,PoW,262800000
RIF Token,RIF Token (RIF),N/A,N/A,1000000000
MIcro Licensing Coin,MIcro Licensing Coin (MILC),N/A,N/A,40000000 
Pinmo,Pinmo (PINMO),N/A,N/A,273000000
PopChest,PopChest (POPC),N/A,N/A,1600000000
Retail.Global,Retail.Global (RGT),N/A,N/A,40500000
Scopuly,Scopuly (SCOP),N/A,N/A,10000000000
Borneo,Borneo (BMG),N/A,N/A,1500000000
Cryptoxygen,Cryptoxygen (OXY2),N/A,N/A,250000000
Vecap,Vecap (VC),N/A,N/A,1000000000
Faireum Token,Faireum Token (FAIRC),N/A,N/A,1200000000
beepnow,beepnow (BPN),N/A,N/A,17500000000
Dycoin,Dycoin (DYC),N/A,N/A,500000000
Dusk Network,Dusk Network (DUSK),N/A,N/A,500000000
LINK,LINK (LN),N/A,N/A,1000000000
FactR,FactR (FTR),N/A,N/A,100000000
Real-World Evidence,Real-World Evidence (RWE),N/A,N/A,500000000
Yoshi,Yoshi (YSH),N/A,N/A,500000000
Smart Trip Platform,Smart Trip Platform (TASH),N/A,N/A,5000000000
TMONEY,TMONEY (TXM),N/A,N/A,400000000
Travelvee,Travelvee (TRAVEL),N/A,N/A,47000000
ACA Token,ACA Token (ACA),N/A,N/A,2000000000
Authpaper,Authpaper (AUPC),N/A,N/A,400000000
Cosmecoin,Cosmecoin (COSX),N/A,N/A,500000000
DNAtix,DNAtix (DNTX),N/A,N/A,150000000
HARA,HARA (HART),N/A,N/A,1200000000
Krosscoin,Krosscoin (KSS),N/A,N/A,100000000
LipChain,LipChain (LIPS),N/A,N/A,1000000000
miBoodle,miBoodle (MIBO),N/A,N/A,600000000
OpenBrix,OpenBrix (BRIX),N/A,N/A,300000000
NonZero,NonZero (NZO),N/A,N/A,900000000
Pink Taxi Token,Pink Taxi Token (PTT),N/A,N/A,50000000
RecordsKeeper,RecordsKeeper (XRK),N/A,PoW,342000000
RewardMob,RewardMob (RMOB),N/A,N/A,1500000000
Sarf,Sarf (XRF),N/A,N/A,2000000000
Smart League,Smart League (POD),N/A,N/A,500000000
Suapp,Suapp (SUT),N/A,N/A,1000000000
Truwho,Truwho (WHO),N/A,N/A,600000000
TrigID,TrigID (ID),N/A,N/A,48000000
VIARIUM,VIARIUM (VRX Token),N/A,N/A,250000000
WeiDex,WeiDex (WDX),N/A,N/A,50000000
AIOT Token,AIOT Token (AIOT),N/A,N/A,500000000
Amos,Amos (AMOS),N/A,N/A,5000000000
eSwitch®,eSwitch® (ESW),N/A,N/A,60000000
Bancryp,Bancryp (XBANK),N/A,N/A,300000000
Betoken,Betoken (KRO),N/A,N/A,1000000
ClearAid,ClearAid (CAID),N/A,N/A,100000000
Guarium,Guarium (GUAR),N/A,N/A,35000000000
Local Token Exchange,Local Token Exchange (LTE),N/A,N/A,77963600
Helix3,Helix3 (HLX),N/A,N/A,888000000
Melior AI,Melior AI (MEL),N/A,N/A,400000000
Nexxo,Nexxo (NEXXO),N/A,N/A,100000000000
Quantor,Quantor (QNTR),N/A,N/A,2000000000
Bitcoinus,Bitcoinus (BTCUS),N/A,N/A,59294347
Rays Network,Rays Network (RAYS),N/A,N/A,500000000
Molecule,Molecule (MOL),N/A,N/A,40000000000
REME-Coin,REME-Coin (REME),N/A,N/A,375000000
RENC,RENC (RENC),N/A,N/A,100000000
Travelertoken,Travelertoken (TLT),N/A,N/A,895522388
Sentigraph.io,Sentigraph.io (EMOT),N/A,N/A,1000000000
USAT,USAT (USAT),N/A,N/A,1525000000
VolAir,VolAir (VOLAIR),N/A,N/A,500000000
Aircraft,Aircraft (AIRT),N/A,N/A,100000000
VTradeExchange,VTradeExchange (VTRD),N/A,N/A,550000000
BitTorrent,BitTorrent (BTT),TRC10,DPoS,990000000000
Galilel,Galilel (GALI),Quark,PoW/PoS,0
Plair,Plair (PLAI),N/A,N/A,100000000000
Bgogo Token,Bgogo Token (BGG),N/A,N/A,10000000000
HedgeTrade,HedgeTrade (HEDG),N/A,N/A,1000000000
Erecoin,Erecoin (ERE),N/A,N/A,360000000
BTU Protocol,BTU Protocol (BTU),N/A,N/A,100000000
APRES,APRES (APS),N/A,N/A,5000000000
BiteX,BiteX (XBX),N/A,N/A,300000000
Quant,Quant (QNT),N/A,N/A,45467000
getFIFO,getFIFO (FFUEL),N/A,N/A,150000000
NOMAD.space,NOMAD.space (NSP),N/A,N/A,2250000
ScientificCoin,ScientificCoin (SNcoin),N/A,N/A,100000000
TITA Project,TITA Project (TTNT),N/A,N/A,250000000
Fieldcoin,Fieldcoin (FLC (1)),N/A,N/A,1000000000000
Bitwin 2.0,Bitwin 2.0 (BWT2),N/A,N/A,450000000
OATH Protocol,OATH Protocol (OATH),N/A,N/A,10000000000
simplyBrand,simplyBrand (SBA),N/A,N/A,1000000000
DexAge,DexAge (DXG),N/A,N/A,5000000000
TradePlace,TradePlace (EXTP),N/A,N/A,500000000
Zaddex,Zaddex (ZEX),Equihash,PoW,210000000
XCOYNZ,XCOYNZ (XCZ),N/A,N/A,125000000000
CurveBlock,CurveBlock (CBUK),N/A,N/A,500000000
HELIX Orange,HELIX Orange (HIX),N/A,N/A,5000000000
TerraGreen,TerraGreen (TGN),N/A,N/A,270000000
Cogmento,Cogmento (COGS),N/A,N/A,1000000000
Aerum,Aerum (XRM),N/A,N/A,1000000000
Creditcoin,Creditcoin (CCOIN),N/A,N/A,100000000
Alprockz,Alprockz (APZ),N/A,N/A,175000000
IceChain,IceChain (ICHX),N/A,N/A,1000000000
CoinIMP,CoinIMP (IMP),N/A,N/A,545000000
TriForce Tokens,TriForce Tokens (FORCE),N/A,N/A, 200000000
BitMax Token,BitMax Token (BTMX),N/A,N/A,10000000000
LTO Network,LTO Network (LTO),N/A,N/A,62884347.69135606
QUSD,QUSD (QUSD),N/A,N/A,3500000000
Bithereum,Bithereum (BTH),Equihash,PoW,30886000
Pledgecamp,Pledgecamp (PLG),N/A,N/A,1000000000000
PVPChain,PVPChain (PVP),N/A,N/A,10000000000
EMANATE,EMANATE (EMANATE),N/A,N/A,208037825.05
RAIZER,RAIZER (RAIZER),SHA-256,PoW,1000000000
CryptoProfile,CryptoProfile (CP),N/A,N/A,753471015
Dayta,Dayta (DAYTA),N/A,N/A,2500000000
Orvium,Orvium (ORV),N/A,N/A,379000000
Coinware,Coinware (CWT),N/A,N/A,260000000
aQuest,aQuest (AQU),N/A,N/A,200000000
Coinxes,Coinxes (CXG),N/A,N/A,180000000
VENOTY,VENOTY (VNTY),Scrypt,PoW,94000000
Mindsync,Mindsync (MAI),N/A,N/A,1000000000
Bither,Bither (BTR),N/A,N/A,200000000
SOMESING,SOMESING (SSX),N/A,N/A,10000000000
Klickzie,Klickzie (KLK),N/A,N/A,1000000000
LivenPay,LivenPay (LVN),N/A,N/A,10000000000
FortFC,FortFC (FFCT),N/A,N/A, 300000000
Azultec,Azultec (AZU),N/A,N/A,N/A
ArQmA,ArQmA (ARQ),CryptoNight-lite,PoW,50000000
WULET,WULET (WU),N/A,N/A,91000000
Zeux,Zeux (ZUC),N/A,N/A,750000000
Files.fm Library,Files.fm Library (FFM),N/A,N/A,10000000000
Drife,Drife (DRF),N/A,N/A,325000000
Global Trust Coin,Global Trust Coin (GTIB),N/A,N/A,100000000000
Amoveo,Amoveo (VEO),SHA-256,PoW,0
Dolla,Dolla (DLA),N/A,Consortium,100000000000
AllForOneBusiness,AllForOneBusiness (AFO),N/A,N/A,200000000
Bitbond,Bitbond (BB1),N/A,N/A,100000000
Fetch.AI,Fetch.AI (FET),N/A,N/A,1152997575
Digital Asset Guarantee Token,Digital Asset Guarantee Token (DAGT),N/A,N/A,100100000
Globalvillage Ecosystem,Globalvillage Ecosystem (GVE),N/A,N/A,1000000000
InvestDigital,InvestDigital (IDT),N/A,N/A,800000000
Kuverit,Kuverit (KUV),N/A,N/A,20000000000
BolttCoin,BolttCoin (BOLTT),N/A,N/A,170000000
Encrybit,Encrybit (ENCX),N/A,N/A,270000000
Validator Token,Validator Token (VALID),N/A,N/A,5000000
Tryvium,Tryvium (TYM),N/A,N/A,900000000
VenusEnergy,VenusEnergy (VENUS),N/A,N/A,80000000000
HYGH,HYGH (HYGH),N/A,N/A,1000000000
Alcedo,Alcedo (ALCE),N/A,N/A,100000000
Nodis,Nodis (NODIS),N/A,N/A,100000000
MainCoin,MainCoin (MNC),N/A,N/A,380020246
StableUSD,StableUSD (USDS),N/A,N/A,6734798
UHIVE,UHIVE (HVE),N/A,N/A,80000000000
Gofind XR,Gofind XR (XR),N/A,N/A,1300000000
Alphacon,Alphacon (ALP),N/A,N/A,25000000000
eMusic,eMusic (EMU),N/A,N/A,500000000
GameStars,GameStars (GST),N/A,N/A,500000000
Neuromachine,Neuromachine (NRM),N/A,N/A,4958333333 
AirPod,AirPod (APOD),N/A,N/A,250000000
AlphaX,AlphaX (AX),Scrypt,PoS,200000000000
Crypto Wine Exchange,Crypto Wine Exchange (CWEX),N/A,N/A,89000000
Cloverdex,Cloverdex (CLDX),N/A,N/A,100000000
EurocoinToken,EurocoinToken (ECTE),N/A,N/A,100000000
Stakinglab,Stakinglab (LABX),Quark,N/A,21000000
Envienta,Envienta (ENV),N/A,N/A,30000000
Ankr Network,Ankr Network (ANKR),N/A,N/A,10000000000
Gaia,Gaia (GEP),N/A,N/A,10000000000
Inzura,Inzura (IZA),N/A,N/A,120000000
Geeba,Geeba (GBA),N/A,N/A,400000000
iTrue,iTrue (ITU),N/A,N/A,8000000000
FanChain,FanChain (FANZ),N/A,N/A,600000000
Crypto Sports,Crypto Sports (CSPN),Quark,PoS,13370000
Coinchase,Coinchase (CCH),N/A,N/A,10000000000
Safe Haven,Safe Haven (HAVEN),N/A,N/A,8500000000 
XOVBank,XOVBank (XOV),N/A,N/A, 140000000 
Cura Network,Cura Network (CUR),N/A,N/A,500000000
Credit,Credit (CREDIT),Scrypt,PoW/PoS,74800000000
ETHA,ETHA (ERA),N/A,N/A,1000000000
MAKE,MAKE (MAKE),N/A,N/A,5000000000
Spokkz,Spokkz (SPKZ),N/A,N/A,1000000000
Atomic Wallet Coin,Atomic Wallet Coin (AWC),ERC20 + BEP-2,N/A,100000000
DiscoveryIoT,DiscoveryIoT (DIS),N/A,N/A,1000000000
Scribe Network,Scribe Network (SCRIBE),Lyra2REv2,PoW,32700000
Squeezer,Squeezer (SQR),N/A,N/A,187500000
Greencoin,Greencoin (GNC),N/A,N/A,50000000
Weave,Weave (WVR),N/A,N/A,960000000
Photon Token,Photon Token (PHT),N/A,N/A,300000000
Windhan Energy,Windhan Energy (WHN),N/A,N/A,250000000
Crypto.com Chain Token,Crypto.com Chain Token (CRO),N/A,N/A,100000000000
LYTIX,LYTIX (LYTX),QuarkTX,PoW/PoS,100000000
TapJets,TapJets (TJA),N/A,N/A,20000000
PrepayWay,PrepayWay (InBit),N/A,N/A,12763636365
Decimated,Decimated (DIO),N/A,N/A,1000000000
Ligercoin,Ligercoin (LIC),N/A,N/A,3600000000
SiaClassic,SiaClassic (SCA),Blake2b,PoW,5000000000
Excalibur OS,Excalibur OS (XOS),N/A,N/A,4000000000
Universal Games Token,Universal Games Token (UGT),N/A,N/A,1000000000
Zeon Network,Zeon Network (ZEON),N/A,N/A,50000000000
Global Property Register,Global Property Register (XRX),N/A,N/A,5000000000
PARQ,PARQ (PARQ),N/A,N/A,10000000000
Tap4.Menu,Tap4.Menu (T4M),N/A,N/A,10000000
TheFaustFlick,TheFaustFlick (TFF),N/A,N/A,10000000
Izzy,Izzy (IZZY),N/A,N/A,600000000
Sonata.ai,Sonata.ai (SONT),N/A,N/A,500000000
Swinca,Swinca (SWI),Quark,PoW/PoS,400000000
Lunes,Lunes (LUNES),Leased POS,LPoS,150728537.61
Celer Network,Celer Network (CELR),N/A,N/A,10000000000
Primpy,Primpy (PPI),N/A,N/A,N/A
ANTE,ANTE (ANTE),N/A,N/A,100000000
TRONdice,TRONdice (TRXDICE),N/A,N/A,10000000000
Africa Trading Chain,Africa Trading Chain (AFTT),N/A,N/A,990000000000 
TronWin,TronWin (TRXWIN),TRC10,N/A,10000000000
IG Gold,IG Gold (IGG),TRC10,N/A,50000000000
Migranet,Migranet (MIG),N/A,N/A,850000000
BitWings,BitWings (BWN),N/A,N/A,300000000
IPUX,IPUX (IPUX),N/A,N/A,1000000000
PCORE,PCORE (PCC),N/A,N/A,52000000
Darb Token,Darb Token (DARB),N/A,N/A,200000000
MinedBlock,MinedBlock (MBTX),N/A,N/A,400000000
CFun,CFun (CFun),N/A,N/A,900000000
SLICE,SLICE (SLC),QuBit,PoW,100000000
aassio,aassio (AAS),N/A,N/A,1000000000
2GETHER,2GETHER (2GT),N/A,N/A,2400000000
Vollar,Vollar (VOLLAR),Equihash+Scrypt,PoW,2100000000
DEXON,DEXON (DXN),N/A,DPoS,4000000000
Allforcrypto,Allforcrypto (AFCT),N/A,N/A,100000000
Insure Network,Insure Network (INET),N/A,N/A,1000000000
Whisky Token,Whisky Token (WHY),N/A,N/A,28100000
Uris,Uris (URIS),N/A,N/A,105000000
Adult X Token,Adult X Token (ADUX),N/A,N/A,600000000
Qravity,Qravity (QCO),N/A,N/A,1000000000
Shercoin,Shercoin (SHER),N/A,N/A,1500000000
ZeroBank,ZeroBank (ZEROB),N/A,N/A,1600000000
ISG,ISG (ISG),N/A,N/A,350000000
TAGZ,TAGZ (TAGZ),N/A,N/A,500000000
Skelpy,Skelpy (SKP),N/A,DPoS,33000000
Golden Currency,Golden Currency (XGN),N/A,N/A,250000000
YPTOspace,YPTOspace (YPTO),N/A,PoW/PoS,150000000000
Ubecoin,Ubecoin (UBE),N/A,N/A,3000000000
Ethereum Gold Project,Ethereum Gold Project (ETGP),N/A,N/A,6000000000
Global Funeral Care,Global Funeral Care (GFCS),N/A,N/A,200000000
Reindeer,Reindeer (RDT),N/A,N/A,2500000000
AliCoin,AliCoin (ALIC),N/A,N/A,1000000000
HCX PAY,HCX PAY (HCXP),CryptoNight,PoW,2000000000
Bit Agro,Bit Agro (AGRO),N/A,N/A,600000000
GoRecruit,GoRecruit (GRT),N/A,N/A,8275642
EUCX,EUCX (EUCX),N/A,N/A,1000000000
MyTVchain,MyTVchain (MYTV),N/A,N/A,3900000000
Levolution,Levolution (LEVL),N/A,N/A,500000000
PRIMARY,PRIMARY (PRY),N/A,N/A,N/A
Maximine,Maximine (MXM),N/A,N/A,16000000000
TTC PROTOCOL,TTC PROTOCOL (TTC),N/A,N/A,1000000000
BCNEX,BCNEX (BCNX),N/A,N/A,200000000
Evedo,Evedo (EVED),N/A,N/A,160000000
Biogen,Biogen (HTER),N/A,N/A,5000000000
Gese,Gese (GESE),N/A,N/A,600000000
Gift Token,Gift Token (GIF),N/A,N/A,5000000000
Developeo,Developeo (DEVX),N/A,N/A,600000000
HubrisOne,HubrisOne (HBRS),N/A,N/A,1000000000
Exclusive Platform,Exclusive Platform (XPL),N/A,N/A,10000000000
Mitoshi,Mitoshi (MTSH),N/A,N/A,1000000000
Dago Mining,Dago Mining (DAGO),N/A,N/A,150000000
Review.Network,Review.Network (REW),N/A,N/A,5000000000
Orbs,Orbs (ORBS),N/A,N/A,10000000000
Streamex,Streamex (STE),N/A,N/A,500000000
Miracle Tele,Miracle Tele (TELE),N/A,N/A,300000000
